Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",1,1,B,0.6,45,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,46,0.5
"Veritcal Distance, Aligned",1,1,B,0.6,47,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,48,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,49,0.65
"Veritcal Distance, Aligned",1,1,B,0.6,50,0.65
"Veritcal Distance, Aligned",1,1,B,0.6,51,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,52,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,53,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,54,0.66
"Veritcal Distance, Aligned",1,1,B,0.6,55,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,56,0.66
"Veritcal Distance, Aligned",1,1,B,0.6,57,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,58,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,59,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,60,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,61,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,62,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,63,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,64,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,65,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,66,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,67,0.5
"Veritcal Distance, Aligned",1,1,B,0.6,68,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,69,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,70,0.5
"Veritcal Distance, Aligned",1,1,B,0.6,71,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,72,0.33
"Veritcal Distance, Aligned",1,1,B,0.6,73,0.45
"Veritcal Distance, Aligned",1,1,B,0.6,74,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,75,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,76,0.45
"Veritcal Distance, Aligned",1,1,B,0.6,77,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,78,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,79,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,80,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,81,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,82,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,83,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,84,0.5
"Veritcal Distance, Aligned",1,1,B,0.6,85,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,86,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,87,0.55
