TRACTFIPS10,Tract ID IHS,City -Suburb,Community Area,Median Household Income ,Median Family Income , Median Gross Rent , Median Home Value ,Share of  Married-Couple family with householder 15to34years,Share of Nonfamily Households15to34years,Share of Householder Aged 15to34 ,Share of Householder Aged 65,Share of households with Social Security Income,Share of households with Retirement Income,Share Family Households,share with Cash Public Assistance or Food Stamps,Below Poverty Level perPopulation,famliyhousehold Single-Parent Households with  children under 18,share of White Alone, share of African American Alone, share ofAsian Alone,Largest Racial Category by Share of Population, share of Hispanic or Latino,share of Households Owner-occupied, share of HouseholdsRenter-occupied,share of owner-occupied  in Single Family, owner-occupied units 24,owner-occupied 5 to 49units,renter-occupiedin Single Family, renter-occupied 2to4units, renter-occupied 5to49units,renter-occupied  in 50+,"Cumulative Foreclosure Filing Activity, 2005","Cumulative Foreclosure Filing Activity, 2006","Cumulative Foreclosure Filing Activity, 2007","Cumulative Foreclosure Filing Activity, 2008","Cumulative Foreclosure Filing Activity, 2009","Cumulative Foreclosure Filing Activity, 2010","Cumulative Foreclosure Filing Activity, 2011","Cumulative Foreclosure Filing Activity, 2012","Mortgage Originations, 2008","Mortgage Originations, 2009","Mortgage Originations, 2010","Mortgage Originations, 2011","Mortgage Originations, 2012","Mortgages per 100 Residential Parcels, 2008","Mortgages per 100 Residential Parcels, 2009","Mortgages per 100 Residential Parcels, 2010","Mortgages per 100 Residential Parcels, 2011","Mortgages per 100 Residential Parcels, 2012",Violent per100 population,Property per100 population,Motor Vehicle Theft per100 population,Other per100 population,Part I Crimesper 100population,LAT,LON
17031150402,1504.02,Chicago,PORTAGE PARK,58125,67333,968,295900,0.074,0.037,0.188,0.146,0.26,0.077,0.796,0.208,0.114,0.2,0.677,0,0.027,White,0.464,0.553,0.447,0.902,0.081,0.016,0.068,0.804,0.128,0,6,10,28,51,88,112,131,143,124,101,71,87,106,12.2,9.9,7,8.5,10.4,0.9,2.3,0.5,2.2,3.2,41.9567979,-87.7720436
17031150501,1505.01,Chicago,PORTAGE PARK,73102,79735,1289,274100,0.079,0.05,0.155,0.225,0.298,0.133,0.775,0.069,0.07,0.047,0.763,0.001,0.045,White,0.296,0.818,0.182,0.746,0.178,0.075,0.229,0.714,0.057,0,3,13,24,50,80,112,135,154,115,93,99,89,128,10.2,8.2,8.8,7.9,11.3,0.8,1.7,0.2,1.3,2.5,41.9644762,-87.7819638
17031150502,1505.02,Chicago,PORTAGE PARK,48933,49315,1027,279000,0.147,0.022,0.25,0.149,0.24,0.095,0.687,0.123,0.119,0.088,0.579,0.004,0.02,White,0.471,0.556,0.444,0.794,0.18,0.026,0.187,0.575,0.237,0,6,13,24,49,82,108,131,152,110,88,87,94,117,10.6,8.5,8.4,9,11.3,1,1.8,0.4,1.5,2.8,41.9567784,-87.7818414
17031150600,1506,Chicago,PORTAGE PARK,60609,83026,878,261800,0.032,0.091,0.17,0.159,0.253,0.143,0.635,0.065,0.104,0.118,0.702,0.002,0.035,White,0.383,0.677,0.323,0.876,0.114,0.01,0.139,0.736,0.125,0,10,19,36,60,102,140,174,190,129,112,93,81,113,12.1,10.5,8.7,7.6,10.6,1.5,2.6,0.7,2.4,4.1,41.9494731,-87.7717578
17031150700,1507,Chicago,PORTAGE PARK,58293,69639,866,280500,0.097,0.032,0.162,0.211,0.324,0.19,0.786,0.095,0.089,0.043,0.725,0.009,0.031,White,0.431,0.743,0.257,0.776,0.214,0.01,0.144,0.752,0.104,0,5,12,27,57,93,129,150,169,125,131,81,85,125,11.4,12,7.4,7.8,11.4,1.5,2.4,0.7,1.8,3.9,41.9495915,-87.761958
17031150800,1508,Chicago,PORTAGE PARK,57953,62179,915,296400,0.042,0.084,0.164,0.134,0.223,0.118,0.694,0.166,0.15,0.15,0.645,0.005,0.036,White,0.554,0.524,0.476,0.629,0.335,0.036,0.029,0.789,0.113,0.034,9,17,34,61,109,155,183,217,119,106,112,90,117,11.3,10,10.6,8.5,11.1,1.6,1.9,0.7,2.1,3.5,41.9497086,-87.7521182
17031151001,1510.01,Chicago,PORTAGE PARK,38694,44538,1040,269500,0.024,0.081,0.177,0.173,0.19,0.08,0.705,0.189,0.327,0.247,0.448,0.022,0,Other,0.659,0.495,0.505,0.593,0.384,0.023,0,0.65,0.35,0,4,12,28,43,70,94,109,125,65,44,39,33,54,12.9,8.7,7.7,6.5,10.7,2.1,2.7,0.5,2.6,4.8,41.9423826,-87.7543527
17031151002,1510.02,Chicago,PORTAGE PARK,54416,53818,906,292300,0.081,0.121,0.274,0.176,0.161,0.108,0.625,0.185,0.118,0.137,0.461,0.007,0.057,Other,0.654,0.412,0.588,0.787,0.197,0.017,0.089,0.523,0.358,0.029,6,13,32,77,119,163,199,223,121,76,66,63,91,13.9,8.7,7.6,7.2,10.4,1.9,2.4,0.6,2.7,4.3,41.9424917,-87.7471554
17031151100,1511,Chicago,PORTAGE PARK,38939,53581,900,286900,0.087,0.015,0.14,0.257,0.291,0.139,0.635,0.146,0.13,0.117,0.608,0.015,0.045,White,0.449,0.482,0.518,0.618,0.343,0.039,0.037,0.643,0.32,0,5,11,31,65,112,151,173,191,100,92,74,76,84,10.2,9.4,7.6,7.8,8.6,2.1,2.6,0.7,2.9,4.7,41.9422903,-87.7617175
17031151200,1512,Chicago,PORTAGE PARK,55724,63542,864,259500,0.078,0.044,0.133,0.243,0.301,0.116,0.699,0.108,0.062,0.021,0.761,0.036,0.052,White,0.381,0.721,0.279,0.954,0.028,0.01,0.261,0.496,0.244,0,4,11,23,47,83,121,137,155,99,95,85,68,88,10.2,9.8,8.8,7,9.1,2.1,3.3,0.4,2.4,5.3,41.942169,-87.7714953
